intent,support,delta_stability
"{'ABV': [0.5, 14.5], 'Country': NOT({'Spain', 'Chile', 'USA', 'South Africa'}), 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",10,
"{'ABV': [0.5, 14.5], 'Country': {'Italy', 'Australia', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",9,
"{'ABV': [0.5, 14.5], 'Country': NOT({'Spain', 'Chile', 'USA', 'South Africa'}), 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",9,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",9,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",9,
"{'ABV': [12.5, 14.5], 'Country': NOT({'Spain', 'Chile', 'USA', 'South Africa'}), 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",9,
"{'ABV': [0.5, 14.5], 'Country': NOT({'Spain', 'Chile', 'USA', 'South Africa'}), 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'Italy', 'Australia', 'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Australia', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'Other', 'Italy', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",8,
"{'ABV': [12.5, 14.5], 'Country': {'Italy', 'Australia', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [12.5, 14.5], 'Country': NOT({'Spain', 'Chile', 'USA', 'South Africa'}), 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [13.0, 14.5], 'Country': NOT({'Spain', 'Chile', 'USA', 'South Africa'}), 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",8,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",8,
"{'ABV': [0.5, 14.5], 'Country': {'Italy', 'Australia', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': NOT({'Spain', 'Chile', 'USA', 'South Africa'}), 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'Other', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Australia', 'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'Other', 'Italy', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Other', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'Italy', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': NOT({'Spain', 'Chile', 'USA', 'South Africa'}), 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'Italy', 'Australia', 'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [13.0, 14.5], 'Country': {'Italy', 'Australia', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [13.0, 14.5], 'Country': NOT({'Spain', 'Chile', 'USA', 'South Africa'}), 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Australia', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'Other', 'Italy', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Italy', 'France', 'Other'}, 'Price': [4.99, 35.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'Italy', 'Australia', 'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Australia', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'Other', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [0.5, 13.0], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Australia', 'France'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'Other', 'Italy', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Other', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'Italy', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2021.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'Italy', 'Australia', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': NOT({'Spain', 'Chile', 'USA', 'South Africa'}), 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': NOT({'Spain', 'Chile', 'USA', 'South Africa'}), 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'Italy', 'Australia', 'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'Other', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Australia', 'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Australia', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'Other', 'Italy', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'Other', 'Italy', 'France'}, 'Price': [4.99, 35.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Italy', 'France', 'Other'}, 'Price': [4.99, 19.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Italy', 'France', 'Other'}, 'Price': [11.99, 35.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Other', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'Italy', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Italy', 'France'}, 'Price': [4.99, 35.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'Other', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Australia', 'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [0.5, 13.0], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [0.5, 13.0], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [14.99, 430.0], 'Type': {'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'Australia', 'France'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'Other', 'Italy', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Other', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'Italy', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'Italy', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",5,
"{'ABV': [0.5, 13.0], 'Country': {'Italy', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2021.0, 2022.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'Italy', 'France'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2021.0, 2022.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'New Zealand', 'France'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'Italy', 'Australia', 'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'Italy', 'Australia', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Australia', 'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'Other', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'Other', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Australia', 'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [12.5, 13.0], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'Italy', 'Australia', 'France'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'New Zealand', 'Australia', 'France'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Italy', 'Australia', 'France'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Australia', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'Other', 'Italy', 'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",5,
